,Unnamed: 0,CITY,COUNTY,COUNTY_FIPS,END_USE,FACILITY_ID,FINAL_NAICS_CODE,MECS_NAICS,REPORTING_YEAR,STATE,Temp_degC,UNIT_NAME,UNIT_TYPE,Lat,Lon,LLType,geometry,FacilityName,Demand 300,Demand 550,Demand 850,Emissions 300,Emissions 550,Emissions 850,Count300,Count550,Count850,Temp 300,Temp 550,Temp 850,Industry,Company
161,62729,CALVERT CITY,MARSHALL COUNTY,21157,Conventional Boiler Use,1006621,325110,325110,2015,KY,220,CP-1,OCS (Other combustion source),37.04674,-88.32711,Facility,POINT (-9832528.908441463 4445623.74448014),WESTLAKE VINYLS INC,336.699251716,637.665218266,863.5049830749998,0.0169504854,0.0321020474,0.0434715214,24,30,36,169.94966541495526,328.087109488664,451.5104808557739,Petrochemicals,WESTLAKE CHEMICAL CORP
162,62731,GEISMAR,ASCENSION,22005,Conventional Boiler Use,1001936,325110,325110,2015,LA,220,CP-BPNG,OCS (Other combustion source),30.184575,-90.99222,Facility,POINT (-10129207.59654952 3527297.370727433),SHELL CHEMICAL CO - GEISMAR PLANT,422.477362061,800.1179625589999,1083.4930742830002,0.021268827,0.0402804219999999,0.0545464119999999,20,25,30,169.94966541368927,328.08710947950743,451.5104808413731,Petrochemicals,"Shell Petroleum, Inc."
163,62732,Corpus Christi,NUECES,48355,Conventional Boiler Use,1004389,325110,325110,2015,TX,220,CP-1,OCS (Other combustion source),27.812178,-97.443544,Facility,POINT (-10847365.69917195 3225314.303508341),Javelina,2179.659504618,4709.575895958,5217.832680064998,0.1097308199999999,0.237094715,0.262681923,23,29,35,175.90465977645698,352.6899402217136,396.2613589355061,Petrochemicals,"MARKWEST ENERGY PARTNERS, LP"
164,62735,Proctor,WETZEL,54103,Conventional Boiler Use,1006827,325110,325110,2015,WV,220,GP-1,OCS (Other combustion source),39.7186,-80.8353,Facility,POINT (-8998544.434121506 4825133.865000627),BAYER CORPORATION,1433.81409941,2715.46009051,3677.185539210001,0.072182661,0.136704707,0.1851209569999999,12,15,18,169.94966541410096,328.08710946619937,451.5104808344653,Petrochemicals,BAYER GROUP
165,62736,WESTLAKE,CALCASIEU PARISH,22019,Conventional Boiler Use,1007750,325110,325110,2015,LA,220,CP-Fuel Gas Header,OCS (Other combustion source),30.252222,-93.284444,Facility,POINT (-10384376.80501364 3536012.004484321),GEORGIA GULF LAKE CHARLES LLC - VCM PLANT,429.044881704,812.556002743,1100.3362537209998,0.0215994568999999,0.0409066179,0.0553943708999999,32,40,48,169.94966541473647,328.08710946476555,451.51048083758445,Petrochemicals,GEORGIA GULF CORP
166,62737,GEISMAR,ASCENSION,22005,Conventional Boiler Use,1002046,325110,325110,2015,LA,220,GP-1,OCS (Other combustion source),30.233183,-91.051,Facility,POINT (-10135750.95621835 3533558.696657188),WILLIAMS OLEFINS LLC - GEISMAR ETHYLENE PLANT,1434.179897165,2716.152864611,3747.078438981,0.072201082,0.136739588,0.188639586,24,30,37,169.94966541445206,328.087109469511,457.92348083062257,Petrochemicals,"WILLIAMS PARTNERS, LP"
167,62739,DEER PARK,HARRIS,48201,Conventional Boiler Use,1002076,325110,325110,2015,TX,220,BH-2-4,"OB (Boiler, other)",29.73,-95.102778,Facility,POINT (-10586792.81998574 3468890.85978955),ROHM AND HAAS TEXAS DEER PARK PLANT,75.524924834,143.03452540700002,193.692586487,0.0038021099,0.0072007529,0.0097510379,16,20,24,169.94966541293013,328.08710947030823,451.5104808366511,Petrochemicals,THE DOW CHEMICAL CO
168,62741,PASADENA,HARRIS,48201,Conventional Boiler Use,1002613,325110,325110,2015,TX,220,CP-100,OCS (Other combustion source),29.726225,-95.151063,Facility,POINT (-10592167.88159869 3468406.939090827),BASF CORP - PASADENA PLANT,676.4670102450001,1281.141794913,1734.8795140260002,0.034055456,0.064496668,0.087339244,28,35,42,169.94966541474406,328.08710946873254,451.5104808547821,Petrochemicals,BASF CORP
169,62742,HOUSTON,HARRIS,48201,Conventional Boiler Use,1005198,325110,325110,2015,TX,220,CP-TPCHNO,OCS (Other combustion source),29.69845,-95.254597,Facility,POINT (-10603693.23375848 3464846.995976727),TPC GROUP LLC,1674.362609201,3171.028130126,4447.940509915999,0.0842926138,0.1596394078,0.2239231277999999,36,45,55,169.94966541662967,328.08710947815246,463.5636093878176,Petrochemicals,TPC GROUP INC
170,62743,AUGUSTA,RICHMOND COUNTY,13245,Conventional Boiler Use,1001748,325110,325110,2015,GA,220,GP-01,OCS (Other combustion source),33.370141,-82.014006,Facility,POINT (-9129757.385836484 3944537.68041021),"SOLVAY SPECIALTY POLYMERS USA, LLC",184.210930729,348.87188716,472.430680543,0.0092737169,0.0175632559,0.0237835718999999,24,30,36,169.94966541646957,328.0871094913161,451.51048086533,Petrochemicals,"Solvay Specialty Polymers USA, LLC"
171,62744,MCPHERSON,MCPHERSON COUNTY,20113,Conventional Boiler Use,1006338,325110,325110,2015,KS,220,GP-1,OCS (Other combustion source),38.37694,-97.85102,Facility,POINT (-10892725.72000243 4632812.498932781),OHL NGLP Isomerization Plant,915.220093558,1733.309526699,2347.189984056,0.0460750204999999,0.0872602275,0.1181649045,32,40,48,169.94966541295992,328.08710946083625,451.51048083030696,Petrochemicals,"ONEOK Partners, L.P."
172,62745,LA PLACE,ST. JOHN THE BAPTIST PARISH,22095,Conventional Boiler Use,1001715,325110,325110,2015,LA,220,CP-1,OCS (Other combustion source),30.0565,-90.52342,Facility,POINT (-10077021.01926564 3510814.461057121),DU PONT PONTCHARTRAIN WORKS,1266.404494324,2398.407760357,3301.4527942509994,0.0637547359999999,0.120743308,0.166205399,20,25,31,169.94966541437535,328.0871094743135,457.1692496042217,Petrochemicals,E I DU PONT DE NEMOURS & CO
173,62746,SILSBEE,HARDIN,48199,Conventional Boiler Use,1004829,325110,325110,2015,TX,220,GP-PLANT,OCS (Other combustion source),30.3985,-94.2296,Facility,POINT (-10489591.08965385 3554876.83927786),SOUTH HAMPTON RESOURCES INC,944.163102872,1788.123876004,2510.802454801,0.0475321079999999,0.0900197119999999,0.126401602,12,15,21,169.94966541231548,328.0871094738952,463.9167269689999,Petrochemicals,TRECORA Resources
174,62748,FREEPORT,BRAZORIA COUNTY,48039,Conventional Boiler Use,1001870,325110,325110,2015,TX,220,CP-NG1,OCS (Other combustion source),28.97457,-95.34101,Facility,POINT (-10613312.6849164 3372409.763714673),SI GROUP INC TX OPERATIONS,307.82910859000003,582.98886829,789.46409249,0.015497074,0.029349472,0.039744077,4,5,6,169.94966541786454,328.0871094850901,451.5104808566896,Petrochemicals,SI GROUP INC
175,62749,PASCAGOULA,JACKSON,28059,Conventional Boiler Use,1002589,325110,325110,2015,MS,220,GP-001,OCS (Other combustion source),30.355,-88.496111,Facility,POINT (-9851342.013705015 3549263.889550255),FIRST CHEMICAL CORP,381.96796644,723.39836044,979.60194644,0.019229456,0.0364181239999999,0.049316209,4,5,6,169.94966541375396,328.0871094605352,451.5104808362491,Petrochemicals,E I DU PONT DE NEMOURS & CO
176,62750,SULPHUR,CALCASIEU,22019,Conventional Boiler Use,1005564,325110,325110,2015,LA,220,GP-ALL,OCS (Other combustion source),30.18139,-93.35889,Facility,POINT (-10392664.09582524 3526887.210308512),WESTLAKE STYRENE LLC - STYRENE MONOMER PRODUCTION FACILITY,951.14510498,1801.34689278,2439.32391728,0.047883602,0.090685404,0.122803152,4,5,6,169.94966541451004,328.08710946225244,451.5104808299131,Petrochemicals,WESTLAKE CHEMICAL CORP
177,62751,PASADENA,HARRIS,48201,Conventional Boiler Use,1005675,325110,325110,2015,TX,220,GP-COMBUSTUNITS,OCS (Other combustion source),29.608611,-95.051944,Facility,POINT (-10581134.00499075 3453338.994974163),JX NIPPON CHEMICAL TEXAS INC,228.26006237,432.29529537,585.39987917,0.0114913209999999,0.021763089,0.02947085,4,5,6,169.94966541220262,328.08710946150313,451.5104808468763,Petrochemicals,JX Nippon Chemical Texas Inc
178,62754,PASADENA,HARRIS,48201,Conventional Boiler Use,1006797,325110,325110,2015,TX,220,CP-3,OCS (Other combustion source),29.624369,-95.062877,Facility,POINT (-10582351.0609836 3455356.786458663),ARKEMA INC CLEAR LAKE,502.513057276,951.695308722,1288.754063884,0.025298117,0.047911349,0.064879935,32,40,48,169.9496654109704,328.0871094638738,451.5104808320552,Petrochemicals,Arkema Inc. 
179,63028,DECATUR,Morgan,1103,Conventional Boiler Use,1000325,325110,325110,2015,AL,220,AB-8301,"OB (Boiler, other)",34.64,-87.0583,Facility,POINT (-9691285.625328049 4115065.56553292),BP Amoco Chemical Company,250.868903856,475.113542693,643.382922402,0.012629515,0.0239186409999999,0.032389828,24,30,36,169.94966541348526,328.08710945623955,451.51048083205535,Petrochemicals,BP America Inc
180,63032,Wando,Berkeley,45015,Conventional Boiler Use,1000452,325110,325110,2015,SC,220,AB-350B Boiler,"OB (Boiler, other)",32.9701,-79.8905,Facility,POINT (-8893369.779220022 3891335.910643111),BP Amoco Chemical Company CR Plant,863.917940527,1661.340080451,2195.835082376,0.0434429769999999,0.083524988,0.1104331299999999,28,35,42,170.60042480570385,331.1079740900884,445.2424308636598,Petrochemicals,BP America Inc
181,68780,LAUREL,YELLOWSTONE,30111,Conventional Boiler Use,1006671,324110,324110,2015,MT,220,GP-1,OCS (Other combustion source),45.65922,-108.76778,Facility,POINT (-12107973.88431481 5725906.153305584),CHS INC LAUREL REFINERY,1201.5617002549998,1945.5416587009995,2503.8116211710003,0.0604904015,0.0979446735,0.1260497245,25,31,37,163.81896571424602,294.2874399179581,407.0451767821914,Petroleum Refineries,CHS INC
182,68784,BAYTOWN,HARRIS,48201,Conventional Boiler Use,1007542,324110,324110,2015,TX,220,CP-BOPTR5,OCS (Other combustion source),29.739678,-95.012805,Facility,POINT (-10576777.0714406 3470131.574639081),EXXONMOBIL Bt Site,181.7159009,344.14662050000004,466.0318819,0.009148144,0.017325412,0.023461495,4,5,6,169.949665416154,328.0871094788216,451.51048082564665,Petroleum Refineries,EXXONMOBIL CORP
183,68785,ANACORTES,SKAGIT,53057,Conventional Boiler Use,1003904,324110,324110,2015,WA,220,F753,"OB (Boiler, other)",48.489534,-122.564292,Facility,POINT (-13643794.57487809 6188685.713311381),TESORO CORPORATION-ANACORTES REFINERY,220.51901662,417.63474712,565.5470534200001,0.011101612,0.021025031,0.028471397,4,5,6,169.94966541629773,328.0871094656057,451.51048085359855,Petroleum Refineries,TESORO CORP
184,68787,ANACORTES,SKAGIT,53057,Conventional Boiler Use,1004211,324110,324110,2015,WA,220,CP-COGEN,OCS (Other combustion source),48.472836,-122.560194,Facility,POINT (-13643338.38760482 6185881.507030966),SHELL PUGET SOUND REFINERY,174.02416117,329.57945147,446.30550717,0.008760918,0.016592055,0.022468408,4,5,6,169.94966541231338,328.0871094472424,451.5104807999674,Petroleum Refineries,SHELL OIL CO
185,68788,Robinson,Crawford,17033,Conventional Boiler Use,1000099,324110,324110,2015,IL,220,GP-1,OCS (Other combustion source),39.0,-87.7222,Facility,POINT (-9765190.635265702 4721671.572580107),Marathon Petroleum Company LP,231.55341473000004,438.53248253,593.84607013,0.011657118,0.022077088,0.029896057,4,5,6,169.9496654158022,328.08710946151496,451.5104808550028,Petroleum Refineries,MARATHON PETROLEUM CO LP
186,68791,WHITING,Lake,18089,Conventional Boiler Use,1007339,324110,324110,2015,IN,220,GP-WCE Building Heat,OCS (Other combustion source),41.6703,-87.4803,Facility,POINT (-9738262.45044281 5111719.216133544),BP Whiting Business Unit,228.00120575,431.80505414999993,584.73601085,0.011478289,0.021738409,0.029437429,4,5,6,169.94966541531107,328.0871094766921,451.5104808573634,Petroleum Refineries,BP AMERICA INC
187,68794,Rosemount,DAKOTA,27037,Conventional Boiler Use,1006985,324110,324110,2015,MN,220,CP-5 Xcel NatGas,OCS (Other combustion source),44.7684,-93.0406,Facility,POINT (-10357232.21510065 5585134.199793268),Flint Hills Resources Pine Bend Refinery,509.89679606,965.67916336,1307.69053366,0.0256697909999999,0.048615293,0.065833209,4,5,6,169.94966540994508,328.0871094578942,451.5104808153437,Petroleum Refineries,"Koch Industries, Inc."
188,68798,Ponca City,KAY,40071,Conventional Boiler Use,1001920,324110,324110,2015,OK,220,Boiler GFMNT1 & GFMST1,"OB (Boiler, other)",36.68807,-97.08786,Facility,POINT (-10807771.13740863 4395716.497482887),Phillips 66 Ponca City Refinery,197.15883763,373.39356283,505.63711633,0.0099255889999999,0.018797793,0.025455345,4,5,6,169.9496654146003,328.08710944629973,451.5104808203034,Petroleum Refineries,Phillips 66 Company
189,68799,MEMPHIS,SHELBY,47157,Conventional Boiler Use,1008271,324110,324110,2015,TN,220,CP-Natural Gas,OCS (Other combustion source),35.085843,-90.083385,Facility,POINT (-10028036.54713442 4175552.992668914),"VALERO REFINING CO. (PREV. PREMCOR REFINING, PREV. WILLIAMS REFINING LLC)",393.82824049,745.86019899,1010.01901949,0.019826539,0.037548923,0.0508475,4,5,6,169.94966541181674,328.08710945411485,451.5104808360642,Petroleum Refineries,VALERO CORP
190,68801,RODEO,CONTRA COSTA,6013,Conventional Boiler Use,1006395,324110,324110,2015,CA,220,GP-Calciner Natural Gas,OCS (Other combustion source),38.0436,-122.2532,Facility,POINT (-13609163.97184823 4585586.8628323),SAN FRANCISCO REFINERY AT RODEO,451.4807590649999,855.0466782249999,1157.8757101249998,0.022728946,0.0430457099999999,0.058291065,12,15,18,169.94966541548294,328.0871094696019,451.5104808477123,Petroleum Refineries,Phillips 66 Company
192,68804,LEMONT,Will,17197,Conventional Boiler Use,1000343,324110,324110,2015,IL,220,GP-9,OCS (Other combustion source),41.6439,-88.0467,Facility,POINT (-9801313.810028119 5107785.749694413),Lemont Refinery,182.47289338,345.58026718,467.97327848,0.009186253,0.017397586,0.023559231,4,5,6,169.9496654150659,328.0871094621682,451.510480838876,Petroleum Refineries,PDV HOLDING INC
193,68816,OREGON,Lucas,39095,Conventional Boiler Use,1006078,324110,324110,2015,OH,220,SRU-1 Thermal Reactor Auxillary,OCS (Other combustion source),41.6786,-83.4539,Facility,POINT (-9290045.652712774 5112956.207409061),BP Husky Refining LLC,265.49481151399993,502.8131367609999,681.105539104,0.013365811,0.025313108,0.034288887,12,15,19,169.94966541011186,328.087109452498,451.6193348151461,Petroleum Refineries,Husky Energy Inc.
194,68819,EL SEGUNDO,LOS ANGELES,6037,Conventional Boiler Use,1007978,324110,324110,2015,CA,220,D Train DB Natural Gas,OCS (Other combustion source),33.908126,-118.41074,Facility,POINT (-13181423.28125471 4016472.253932307),"CHEVRON PRODUCTS, EL SEGUNDO REFINERY",217.653835597,419.2284490839999,552.6854470019999,0.010943632,0.021073999,0.027792642,20,25,30,170.6694961610041,331.4232385072356,444.5705055868711,Petroleum Refineries,CHEVRON CORP
195,68820,MT VERNON,POSEY COUNTY,18129,Conventional Boiler Use,1005899,324110,324110,2015,IN,220,CP-4 BLR HOUSE,OCS (Other combustion source),37.925417,-87.904972,Facility,POINT (-9785536.721236972 4568895.087439953),COUNTRYMARK REFINING & LOGISTICS LLC,207.27382341,392.55004921,540.046425685,0.010434809,0.01976219,0.0271876159999999,4,5,7,169.9496654158815,328.0871094684329,456.97499401828674,Petroleum Refineries,COUNTRYMARK COOPERATIVE LLP
196,68821,SUNRAY,MOORE,48341,Conventional Boiler Use,1007936,324110,324110,2015,TX,220,CP-Asphalt Natural Gas,OCS (Other combustion source),35.951944,-101.873889,Facility,POINT (-11340549.44861048 4294010.953693138),"Diamond Shamrock Refining Company, L.P.",2030.50615468,4481.42566008,4708.02995708,0.102221996,0.225608907,0.237016872,7,9,10,176.9392262293441,356.3576993624594,377.7108454919254,Petroleum Refineries,VALERO CORP
197,68822,FERNDALE,WHATCOM,53073,Conventional Boiler Use,1008018,324110,324110,2015,WA,220,GP-Natural Gas,OCS (Other combustion source),48.830142,-122.692114,Facility,POINT (-13658023.65483027 6246089.037377616),PHILLIPS 66 FERNDALE REFINERY,281.61208057,533.33717817,745.838670759,0.014177227,0.026849851,0.037547837,4,5,8,169.9496654143128,328.0871094677844,462.5427196978537,Petroleum Refineries,Phillips 66 Company
198,68823,BENICIA,SOLANO,6095,Conventional Boiler Use,1008504,324110,324110,2015,CA,220,CP-BAP Natural Gas,OCS (Other combustion source),38.074864,-122.143574,Facility,POINT (-13596960.46135053 4590006.99005167),VALERO REFINING CO - CALI FORNIA BENICIA REFINERY,450.9463688,854.0346116,1156.5052032,0.022702043,0.042994759,0.058222069,4,5,6,169.9496654140704,328.08710947476783,451.5104808403944,Petroleum Refineries,VALERO CORP
199,68825,BELLE CHASSE,PLAQUEMINES,22075,Conventional Boiler Use,1001824,324110,324110,2015,LA,220,592-H-1,"OB (Boiler, other)",29.68,-89.980833,Facility,POINT (-10016620.51071459 3462482.78936477),PHILLIPS 66 CO - ALLIANCE REFINERY,172.84795067999997,299.06081718,393.76881491,0.008701703,0.015055651,0.019823546,5,6,7,166.29670390605295,309.2399162469914,427.27593925881325,Petroleum Refineries,Phillips 66 Company
200,68827,CHALMETTE,SAINT BERNARD,22087,Conventional Boiler Use,1007625,324110,324110,2015,LA,220,CP-Building NG,OCS (Other combustion source),29.936411,-89.972954,Facility,POINT (-10015743.42444663 3495378.68640011),CHALMETTE REFINING LLC - CHALMETTE REFINERY,412.75812825,781.71097965,1058.650460785,0.020779528,0.039353762,0.053295753,4,5,7,169.94966541158598,328.087109463181,451.5379706183122,Petroleum Refineries,Chalmette Refining LLC
201,68828,MARTINEZ,CONTRA COSTA,6013,Conventional Boiler Use,1001804,324110,324110,2015,CA,220,CP-Natural Gas Combustion,OCS (Other combustion source),38.016594,-122.115392,Facility,POINT (-13593823.25546099 4581770.253820398),SHELL OIL PRODUCTS US - MARTINEZ REFINERY,348.73425618000005,660.45797378,894.37017278,0.017556367,0.033249509,0.045025377,4,5,6,169.9496654134518,328.08710947016164,451.51048082115807,Petroleum Refineries,Shell Petroleum INCORPORATED
202,68831,TORRANCE,LOS ANGELES,6037,Conventional Boiler Use,1007329,324110,324110,2015,CA,220,GP-3 Natural Gas Space Heating,OCS (Other combustion source),33.854967,-118.336907,Facility,POINT (-13173204.22929097 4009344.223201532),EXXONMOBIL OIL CORP - TORRANCE REFINERY,449.43455912,851.1714378199999,1237.27056317,0.022625933,0.042850617,0.062288047,8,10,17,169.94966541303745,328.0871094620255,475.3509009897864,Petroleum Refineries,EXXON MOBIL CORPORATION
203,68833,Garyville,ST JOHN THE BAPTIST,22095,Conventional Boiler Use,1003043,324110,324110,2015,LA,220,Unit 42 Boiler No. 1 (42-1601),"OB (Boiler, other)",30.09959,-90.648851,Facility,POINT (-10090983.93431533 3516357.643485653),Marathon Petroleum Company LP,893.6912605629999,1692.536677096,2318.978069491,0.044991196,0.0852075549999999,0.116744565,12,15,19,169.94966541232407,328.0871094719968,455.568163355529,Petroleum Refineries,MARATHON PETROLEUM CO LP
204,68834,MARTINEZ,CONTRA COSTA,6013,Conventional Boiler Use,1007390,324110,324110,2015,CA,220,GP-Aggregated NG Combustion,OCS (Other combustion source),38.0251,-122.0639,Facility,POINT (-13588091.19224107 4582972.208103339),TESORO REFINING AND MARKETING COMPANY GOLDEN EAGLE REFINERY,1213.40022059,2298.024460993,3111.908124247,0.061086265,0.1156896229999999,0.156663058,8,10,12,169.94966541493187,328.0871094737606,451.51048084055424,Petroleum Refineries,TESORO CORP
205,68839,CONVENT,SAINT JAMES,22093,Conventional Boiler Use,1004630,324110,324110,2015,LA,220,81H-101,OCS (Other combustion source),30.10846,-90.89677,Facility,POINT (-10118582.15115331 3517498.997559464),MOTIVA ENTERPRISES LLC - CONVENT REFINERY,165.68274207399998,313.7818731219999,424.912953206,0.008340989,0.015796725,0.021391371,8,10,12,169.94966541611032,328.0871094803918,451.5104808634272,Petroleum Refineries,MOTIVA ENTERPRISES LLC
206,68844,Catlettsburg,Boyd,21019,Conventional Boiler Use,1007913,324110,324110,2015,KY,220,GP-1,OCS (Other combustion source),38.375,-82.6042,Facility,POINT (-9195457.481385728 4632537.023790267),"Catlettsburg Refining, LLC",489.690027229,927.410133782,1300.181468444,0.024652469,0.04668866,0.065455128,12,15,19,169.94966541294608,328.0871094777287,463.3879134914309,Petroleum Refineries,MARATHON PETROLEUM CO LP
208,68848,PHILADELPHIA,Philadelphia,42101,Conventional Boiler Use,1001261,324110,324110,2015,PA,220,CP-870 H-01/H-02,OCS (Other combustion source),39.9058,-75.2122,Facility,POINT (-8372583.805441851 4852262.81973925),Philadelphia Refinery,299.22230705000004,566.68868955,767.39093375,0.015063782,0.028528872,0.038632847,4,5,6,169.94966541716593,328.0871094827024,451.5104808416692,Petroleum Refineries,Philadelphia Energy Solutions LLC
209,68849,CARSON,LOS ANGELES,6037,Conventional Boiler Use,1001964,324110,324110,2015,CA,220,CP-Natural Gas,OCS (Other combustion source),33.8048,-118.2431,Facility,POINT (-13162761.68181813 4002621.454275547),Phillips 66 Los Angeles Refinery - Carson Plant,197.44742288000003,373.94010638,506.37722738,0.009940117,0.018825308,0.0254926049999999,4,5,6,169.94966541368305,328.08710948505984,451.5104808439104,Petroleum Refineries,Phillips 66 Company
210,68851,WILMINGTON,LOS ANGELES,6037,Conventional Boiler Use,1006843,324110,324110,2015,CA,220,CP-Natural Gas,OCS (Other combustion source),33.774469,-118.290696,Facility,POINT (-13168060.04430192 3998558.775778387),Phillips 66 Los Angeles Refinery - Wilmington Plant,275.084833115,520.975408334,705.487532148,0.013848607,0.026227526,0.035516462,12,15,18,169.94966541687086,328.08710948821584,451.510480867182,Petroleum Refineries,Phillips 66 Company
211,68854,BEAUMONT,Jefferson,48245,Conventional Boiler Use,1007959,324110,324110,2015,TX,220,CP-BOB,OCS (Other combustion source),30.0639,-94.0703,Facility,POINT (-10471857.89477048 3511766.239948981),Exxonmobil Beaumont Refinery,392.51292978,743.36916918,1006.64574988,0.01976032,0.037423514,0.050677676,4,5,6,169.9496654120131,328.0871094667962,451.5104808192765,Petroleum Refineries,Exxon Mobil Corporation
212,68855,CHANNAHON,Will,17197,Conventional Boiler Use,1006068,324110,324110,2015,IL,220,CP- Nigas,OCS (Other combustion source),41.4167,-88.1833,Facility,POINT (-9816520.052470481 5074000.476909485),EXXONMOBIL OIL JOLIET REFINERY,1181.258572285,1181.4368052150005,1181.5705481870002,0.05946823,0.0594771999999999,0.059483931,9,11,13,150.00336746701214,150.0569226717232,150.1304902796211,Petroleum Refineries,EXXONMOBIL CORP
213,68856,DELAWARE CITY,New Castle,10003,Conventional Boiler Use,1007322,324110,324110,2015,DE,220,CP-Natural Gas,OCS (Other combustion source),39.5936,-75.6337,Facility,POINT (-8419504.970811216 4807059.899312634),Delaware City Refinery,139.070728757,241.827443134,409.764675855,0.007001248,0.0121743379999999,0.0206288219999999,12,15,20,166.49053928222523,310.329135589156,511.0149798280982,Petroleum Refineries,PBF Holding Company LLC
214,68857,PORT ALLEN,WEST BATON ROUGE,22121,Conventional Boiler Use,1000025,324110,324110,2015,LA,220,GP-NG,OCS (Other combustion source),30.475803,-91.208107,Facility,POINT (-10153240.02745841 3564857.676374245),PLACID REFINING CO LLC - PORT ALLEN REFINERY,169.904125307,295.443049517,448.846171365,0.008553498,0.014873513,0.022596323,12,15,18,166.4905392852434,310.32913559851534,477.6850006352065,Petroleum Refineries,PLACID REFINING CO LLC
215,68858,ARROYO GRANDE,SAN LUIS OBISPO COUNTY,6079,Conventional Boiler Use,1006099,324110,324110,2015,CA,220,CP-Refinery Produced Gas,OCS (Other combustion source),35.038889,-120.589722,Facility,POINT (-13423986.44794242 4169167.260470157),PHILLIPS 66 SANTA MARIA REFINERY,78.657406462,136.775866913,207.794105497,0.003959848,0.0068857199999999,0.010461004,20,25,30,166.49053928572692,310.3291355881417,477.6850006318541,Petroleum Refineries,Phillips 66
216,68859,TEXAS CITY,GALVESTON,48167,Conventional Boiler Use,1004370,324110,324110,2015,TX,220,GP-1,OCS (Other combustion source),29.376111,-94.908055,Facility,POINT (-10565116.35478 3423604.187804828),TEXAS CITY REFINERY,410.661317367,714.0911481620001,1084.869244323,0.020673969,0.0359496079999999,0.0546157589999999,24,30,36,166.49053928702023,310.32913559369825,477.68500064394186,Petroleum Refineries,MARATHON PETROLEUM CO LP
217,68860,EL DORADO,UNION,5139,Conventional Boiler Use,1007861,324110,324110,2015,AR,220,CP-LO Refinery,OCS (Other combustion source),33.200091,-92.675095,Facility,POINT (-10316544.38461825 3921892.912954387),LION OIL CO-EL DORADO REFINERY,339.178496285,589.791031195,896.0286820650001,0.0170752539999999,0.029691868,0.045108825,12,15,18,166.49053928672467,310.329135591731,477.6850006632381,Petroleum Refineries,DELEK US HOLDINGS INC
218,68862,St. Paul Park,WASHINGTON,27163,Conventional Boiler Use,1002027,324110,324110,2015,MN,220,GP-01,OCS (Other combustion source),44.850583,-93.002139,Facility,POINT (-10352950.75616525 5598029.429170376),"St. Paul Park Refining Company, LLC",461.056774612,801.72284958,1218.002021424,0.0232110168,0.0403612158,0.0613179988,40,50,60,166.4905392849901,310.32913560506387,477.6850006373279,Petroleum Refineries,NORTHERN TIER ENERGY LLC
219,68863,HOUSTON,HARRIS,48201,Conventional Boiler Use,1006062,324110,324110,2015,TX,220,CP-Natural Gas for purging,OCS (Other combustion source),29.722274,-95.254401,Facility,POINT (-10603671.41513829 3467900.476289338),VALERO REFINING HOUSTON REFINERY,1634.72280279,2608.732540405,3798.930205531,0.0822970399999999,0.1313317289999999,0.1912499809999999,29,36,43,163.2977926768527,290.87747826839103,450.3846036548454,Petroleum Refineries,VALERO CORP
220,68864,BATON ROUGE,EAST BATON ROUGE,22033,Conventional Boiler Use,1007643,324110,324110,2015,LA,220,CP-Natural gas common pipe,OCS (Other combustion source),30.484917,-91.17392,Facility,POINT (-10149434.34802666 3566034.935841471),EXXONMOBIL BATON ROUGE REFINERY AND CHEMICAL PLANT,586.616626163,1020.056485415,1549.7011990360002,0.0295320571,0.0513527540999999,0.0780167071,40,50,60,166.4905392847867,310.3291355838725,477.6850006458329,Petroleum Refineries,EXXONMOBIL CORP
221,68865,EL DORADO,BUTLER,20015,Conventional Boiler Use,1004291,324110,324110,2015,KS,220,CP- Natural Gas,OCS (Other combustion source),37.79947,-96.867297,Facility,POINT (-10783218.17656079 4551136.251914642),FRONTIER EL DORADO REFINING LLC,662.687303966,1152.334339136,1750.661784382,0.033361745,0.058012126,0.088133814,8,10,12,166.49053928749433,310.32913559206213,477.68500062913887,Petroleum Refineries,HOLLYFRONTIER CORP
222,68867,Coffeyville,MONTGOMERY,20125,Conventional Boiler Use,1004381,324110,324110,2015,KS,220,EU-30-015 API Combustor,OCS (Other combustion source),37.047556,-95.606106,Facility,POINT (-10642823.03664774 4445737.554968222),"Coffeyville Resources Refining & Marketing, LLC",2679.071013903,3008.5107567280006,3458.0338522090005,0.1348727699999999,0.15145779,0.1740881799999999,18,22,27,152.74442991266162,191.3173298628206,270.44232682342533,Petroleum Refineries,"Coffeyville Resources Refining & Marketing, LLC"
223,68872,ROXANA,Madison,17119,Conventional Boiler Use,1007518,324110,324110,2015,IL,220,Benzene Barge Loading MVC,OCS (Other combustion source),38.8375,-90.0675,Facility,POINT (-10026268.23702317 4698421.499482481),WRB Refining LP Wood River Refinery,702.413508922,1214.781836027,1840.873714943,0.035361602,0.061155817,0.09267523,13,16,19,166.27982752531292,309.14456502844683,476.0873591282507,Petroleum Refineries,Phillips 66 Company
